排名,代號,名稱,股價日期,成交,漲跌價,漲跌幅,股利發放年度,股利發放頻率,現金股利,股票股利,合計股利,除息價,除息價現金殖利率,除權價,除權價股票殖利率,除權息合計殖利率,除息交易日,除權交易日,現金股利發放日
1,2540,愛山林,04/17,54,+0.1,+0.19,2024,年,1.5,5,6.5,192,0.78,192,2.6,3.39,'24/09/12,'24/09/12,'24/10/18
2,3056,富華新,04/17,14.65,-0.2,-1.35,2024,年,0.41,0.4,0.81,36.6,1.12,36.6,1.09,2.21,'24/08/15,'24/08/15,'24/09/20
3,6221,晉泰,04/17,27.6,+0.8,+2.99,2024,年,0,2.493,2.493,,0,83.8,2.97,2.97,,'24/10/15,
4,1436,華友聯,04/17,52.8,-0.5,-0.94,2024,年,5.627,0.938,6.564,183.5,3.07,183.5,0.51,3.58,'24/07/26,'24/07/26,'24/08/16
5,2364,倫飛,04/17,64.9,+1.1,+1.72,2024,年,0,3,3,,0,124.5,2.41,2.41,,'24/08/29,
6,2743,山富,04/17,72.9,+0.2,+0.28,2024,年,3,0,3,117.5,2.55,,0,2.55,'24/08/29,,'24/09/26
7,7734,印能科技,04/17,2505,+225,+9.87,2024,年,14.75,0,14.75,1530,0.96,,0,0.96,'24/06/26,,'24/07/23
8,7610,聯友金屬-創,04/17,638,-9,-1.39,2024,年,0.1,1.201,1.301,70.4,0.14,70.4,1.71,1.85,'24/07/11,'24/07/11,'24/08/08
9,2949,欣新網,04/17,57.5,-0.9,-1.54,2024,年,2,0.5,2.5,92.6,2.16,89.8,0.56,2.72,'24/07/23,'24/09/03,'24/08/16
10,6703,軒郁,04/17,115,+0.5,+0.44,2024,半年,12.28,0.542,12.82,282,4.35,282,0.19,4.55,'24/08/02,'24/08/02,'24/08/30
11,1235,興泰,04/17,45.2,-0.15,-0.33,2024,年,0.5,0.5,1,130.5,0.38,130.5,0.38,0.77,'24/08/29,'24/08/29,'24/10/08
12,1773,勝一,04/17,157.5,+2,+1.29,2024,年,3.2,0,3.2,159.5,2.01,,0,2.01,'24/06/13,,'24/07/12
13,2230,泰茂,04/17,30.25,-0.35,-1.14,2024,年,0.939,0,0.939,167.5,0.56,,0,0.56,'24/09/03,,'24/09/25
14,2539,櫻花建,04/17,46.7,-0.25,-0.53,2024,年,0.4,1.6,2,83.2,0.48,83.2,1.92,2.4,'24/08/15,'24/08/15,'24/09/20
15,2597,潤弘,04/17,165.5,+15,+9.97,2024,年,5.4,4,9.4,182.5,2.96,202,1.98,4.94,'24/07/01,'24/08/14,'24/07/16
16,4303,信立,04/17,54.5,-0.4,-0.73,2024,年,1.164,0,1.164,48.35,2.41,,0,2.41,'24/08/01,,'24/08/28
17,5283,禾聯碩,04/17,55.4,0,0,2024,半年,8,0,8,108.5,7.11,,0,7.11,'24/08/29,,'24/09/26
18,6482,弘煜科,04/17,31.7,+0.35,+1.12,2024,年,0.5,1,1.5,55.9,0.89,55.9,1.79,2.68,'24/09/02,'24/09/02,'24/10/03
19,7730,暉盛-創,04/17,172.5,-18.5,-9.69,2024,年,2,0,2,127,1.57,,0,1.57,'24/08/05,,'24/08/28
20,6189,豐藝,04/17,47.2,-0.2,-0.42,2024,年,3.456,0,3.456,97.3,3.55,,0,3.55,'24/07/17,,'24/08/16
21,6472,保瑞,04/17,416,-9.5,-2.23,2024,半年,12,0,12,783,1.53,,0,1.53,'24/08/12,,'24/08/30
22,2755,揚秦,04/17,139.5,-0.5,-0.36,2024,年,3.6,0,3.6,98.4,3.66,,0,3.66,'24/07/02,,'24/07/29
23,2543,皇昌,04/17,57.6,-0.1,-0.17,2024,半年,0.7,4.1,4.8,96.9,0.98,96.9,5.14,6.12,'24/10/22,'24/10/22,'24/11/15
24,8927,北基,04/17,23.15,-0.45,-1.91,2024,年,0.699,1.298,1.997,64.5,1.08,64.5,2.01,3.1,'24/09/06,'24/09/06,'24/10/04
25,6720,久昌,04/17,162.5,-1,-0.61,2024,年,1.68,0,1.68,123.5,1.36,,0,1.36,'24/03/22,,'24/04/30
26,6590,普鴻,04/17,69.9,0,0,2024,半年,5,0,5,102,4.9,,0,4.9,'24/03/21,,'24/04/19
27,3483,力致,04/17,88,-0.8,-0.9,2024,年,5.05,0,5.05,138.5,3.65,,0,3.65,'24/08/07,,'24/09/06
28,6691,洋基工程,04/17,659,+1,+0.15,2024,年,16,2,18,414.5,3.86,414.5,0.48,4.34,'24/07/22,'24/07/22,'24/08/26
29,6762,達亞,04/17,170.5,+7.5,+4.6,2024,年,0.2,1.8,2,284,0.07,284,0.63,0.7,'24/08/08,'24/08/08,'24/09/12
30,6873,泓德能源,04/17,90.6,+1.8,+2.03,2024,年,4.026,0.249,4.274,159.5,2.52,264.5,0.09,2.62,'24/04/03,'24/08/01,'24/05/09
31,6955,邦睿生技-創,04/17,165,-3,-1.79,2024,年,0.2,1.5,1.7,158,0.13,165.5,0.91,1.03,'24/04/18,'24/07/22,'24/05/09
32,8440,綠電,04/17,22.65,-0.15,-0.66,2024,年,0.167,1.5,1.667,42.3,0.39,57,2.63,3.03,'24/05/17,'24/07/01,'24/06/18
33,5386,青雲,04/17,352,-3,-0.85,2024,年,0.4,0.9,1.3,84.1,0.48,84.1,1.07,1.55,'24/08/22,'24/08/22,'24/09/27
34,4161,聿新科,04/17,24.2,0,0,2024,年,0.7,0,0.7,34.95,2,,0,2,'24/07/16,,'24/08/12
35,4554,橙的,04/17,29.9,-0.05,-0.17,2024,年,1,0,1,30.95,3.23,,0,3.23,'24/07/16,,'24/08/07
36,6186,新潤,04/17,40.65,-0.4,-0.97,2024,年,2,1.5,3.5,112,1.79,112,1.34,3.13,'24/09/05,'24/09/05,'24/09/30
37,8099,大世科,04/17,69.7,-0.1,-0.14,2024,年,1.85,0,1.85,114,1.62,,0,1.62,'24/07/05,,'24/07/31
38,6469,大樹,04/17,81.2,0,0,2024,年,3.598,1.699,5.296,242,1.49,222,0.77,2.25,'24/07/09,'24/08/12,'24/07/31
39,8089,康全電訊,04/17,21.55,-0.2,-0.92,2024,年,0,0,0,,0,,0,0,,,
40,3147,大綜,04/17,163,-1.5,-0.91,2024,年,5,0,5,137.5,3.64,,0,3.64,'24/08/20,,'24/09/13
41,3284,太普高,04/17,18.8,+0.05,+0.27,2024,年,0.2,0.4,0.6,58.8,0.34,58.8,0.68,1.02,'24/08/26,'24/08/26,'24/09/30
42,2374,佳能,04/17,72.3,+0.1,+0.14,2024,年,0.9,0,0.9,54.7,1.65,,0,1.65,'24/07/18,,'24/08/15
43,3317,尼克森,04/17,54.6,+3.5,+6.85,2024,年,0.4,1.4,1.8,55.1,0.73,55.1,2.54,3.27,'24/08/20,'24/08/20,'24/09/24
44,5547,久舜,04/17,21.9,-0.3,-1.35,2024,年,1.2,0,1.2,23,5.22,,0,5.22,'24/04/02,,'24/05/03
45,6446,藥華藥,04/17,653,-7,-1.06,2024,年,0,0,0,,0,,0,0,,,
46,2493,揚博,04/17,141,-6,-4.08,2024,年,5,0,5,97.1,5.15,,0,5.15,'24/07/09,,'24/08/02
47,8431,匯鑽科,04/17,66.2,+0.8,+1.22,2024,半年,0.3,0,0.3,56.1,0.53,,0,0.53,'24/06/27,,'24/07/19
48,2729,瓦城,04/17,172,-1.5,-0.86,2024,年,10,1,11,244,4.1,244,0.41,4.51,'24/07/16,'24/07/16,'24/08/21
49,1294,漢田生技,04/17,82.7,+1.8,+2.22,2024,年,1,3,4,255,0.39,255,1.18,1.57,'24/06/06,'24/06/06,'24/07/05
50,9933,中鼎,04/17,38.5,+0.55,+1.45,2024,年,2.049,0,2.049,52.8,3.88,,0,3.88,'24/07/12,,'24/08/07
51,3563,牧德,04/17,957,+9,+0.95,2024,半年,7,0,7,355,1.73,,0,1.73,'24/08/20,,'24/09/16
52,3546,宇峻,04/17,71.4,-0.4,-0.56,2024,年,4,0.5,4.5,89,4.49,89,0.56,5.06,'24/07/23,'24/07/23,'24/08/27
53,1231,聯華食,04/17,90.2,-0.2,-0.22,2024,年,1.6,1,2.6,117.5,1.36,117.5,0.85,2.21,'24/08/05,'24/08/05,'24/09/06
54,1519,華城,04/17,872,0,0,2024,年,6,1,7,940,0.64,940,0.11,0.74,'24/07/25,'24/07/25,'24/08/30
55,2520,冠德,04/17,31.05,+0.2,+0.65,2024,年,1.8,0,1.8,64.9,2.77,,0,2.77,'24/07/29,,'24/08/23
56,2855,統一證,04/17,32.45,-1.05,-3.13,2024,年,1.32,0,1.32,28.65,4.61,,0,4.61,'24/07/23,,'24/08/15
