排名,代號,名稱,股價日期,成交,漲跌價,漲跌幅,股利發放年度,股利發放頻率,現金股利,股票股利,合計股利,除息價,除息價現金殖利率,除權價,除權價股票殖利率,除權息合計殖利率,除息交易日,除權交易日,現金股利發放日
1,2540,愛山林,04/17,54,+0.1,+0.19,2025,年,1,4,5,79.5,1.26,79.5,5.03,6.29,'25/09/30,'25/09/30,'25/10/31
2,3056,富華新,04/17,14.65,-0.2,-1.35,2025,年,2,3.5,5.5,33.25,6.02,33.25,10.5,16.5,'25/08/07,'25/08/07,'25/09/12
3,6221,晉泰,04/17,27.6,+0.8,+2.99,2025,年,0,3.5,3.5,,0,50.5,6.93,6.93,,'25/10/31,
4,1436,華友聯,04/17,52.8,-0.5,-0.94,2025,年,9.796,3.014,12.81,116,8.45,116,2.6,11,'25/07/21,'25/07/21,'25/08/25
5,2364,倫飛,04/17,64.9,+1.1,+1.72,2025,年,0,3,3,,0,99.3,3.02,3.02,,'25/08/28,
6,2743,山富,04/17,72.9,+0.2,+0.28,2025,年,2,3,5,114,1.75,114,2.63,4.39,'25/09/18,'25/09/18,'25/10/23
7,7734,印能科技,04/17,2505,+225,+9.87,2025,年,21.72,2.565,24.28,1360,1.6,1360,0.19,1.79,'25/07/29,'25/07/29,'25/08/28
8,7610,聯友金屬-創,04/17,638,-9,-1.39,2025,年,0.201,2.348,2.549,76.9,0.26,76.9,3.05,3.31,'25/07/09,'25/07/09,'25/08/05
9,2949,欣新網,04/17,57.5,-0.9,-1.54,2025,年,1,2.1,3.1,84.5,1.18,82.3,2.55,3.74,'25/06/26,'25/09/02,'25/07/25
10,6703,軒郁,04/17,115,+0.5,+0.44,2025,半年,10,2,12,137,7.3,137,1.46,8.76,'25/09/02,'25/09/02,'25/09/30
11,1235,興泰,04/17,45.2,-0.15,-0.33,2025,年,0.5,2,2.5,67.6,0.74,67.6,2.96,3.7,'25/10/08,'25/10/08,'25/11/07
12,1773,勝一,04/17,157.5,+2,+1.29,2025,年,2.5,2,4.5,151,1.66,151,1.32,2.98,'25/06/13,'25/06/13,'25/07/18
13,2230,泰茂,04/17,30.25,-0.35,-1.14,2025,年,1,2,3,124,0.81,124,1.61,2.42,'25/07/01,'25/07/01,'25/08/04
14,2539,櫻花建,04/17,46.7,-0.25,-0.53,2025,年,0.5,2,2.5,60.5,0.83,60.5,3.31,4.13,'25/08/28,'25/08/28,'25/10/02
15,2597,潤弘,04/17,165.5,+15,+9.97,2025,年,7.7,2,9.7,183.5,4.2,186,1.08,5.27,'25/06/11,'25/08/01,'25/06/30
16,4303,信立,04/17,54.5,-0.4,-0.73,2025,年,1,2,3,83.1,1.2,83.1,2.41,3.61,'25/08/29,'25/08/29,'25/10/02
17,5283,禾聯碩,04/17,55.4,0,0,2025,半年,0.5,2,2.5,73.9,0.68,73.9,2.71,3.38,'25/10/31,'25/10/31,'25/11/18
18,6482,弘煜科,04/17,31.7,+0.35,+1.12,2025,年,1,2,3,61.7,1.62,61.7,3.24,4.86,'25/09/02,'25/09/02,'25/10/03
19,7730,暉盛-創,04/17,172.5,-18.5,-9.69,2025,年,1,2,3,137.5,0.73,137.5,1.45,2.18,'25/07/24,'25/07/24,'25/08/29
20,6189,豐藝,04/17,47.2,-0.2,-0.42,2025,年,4,2,6,79,5.06,79,2.53,7.59,'25/07/25,'25/07/25,'25/08/29
21,6472,保瑞,04/17,416,-9.5,-2.23,2025,半年,14,1.998,16,796,1.76,827,0.24,2,'25/06/20,'25/08/04,'25/07/11
22,2755,揚秦,04/17,139.5,-0.5,-0.36,2025,年,2.97,1.974,4.944,141.5,2.1,156,1.27,3.36,'25/07/31,'25/09/04,'25/08/28
23,2543,皇昌,04/17,57.6,-0.1,-0.17,2025,半年,0.8,1.7,2.5,71.7,1.05,85.2,2,3.04,'25/10/23,'25/09/02,'25/11/20
24,8927,北基,04/17,23.15,-0.45,-1.91,2025,年,0.3,1.7,2,49.9,0.6,49.9,3.41,4.01,'25/07/24,'25/07/24,'25/08/22
25,6720,久昌,04/17,162.5,-1,-0.61,2025,年,3.797,1.599,5.396,141.5,2.68,141.5,1.13,3.81,'25/09/04,'25/09/04,'25/10/09
26,6590,普鴻,04/17,69.9,0,0,2025,半年,2.8,1.5,4.3,83.8,3.34,83.8,1.79,5.13,'25/03/20,'25/10/14,'25/04/18
27,3483,力致,04/17,88,-0.8,-0.9,2025,年,3.5,1.5,5,133.5,2.62,133.5,1.12,3.75,'25/09/09,'25/09/09,'25/10/09
28,6691,洋基工程,04/17,659,+1,+0.15,2025,年,16,1.5,17.5,469.5,3.41,469.5,0.32,3.73,'25/07/23,'25/07/23,'25/08/27
