排名,代號,名稱,成交,財報年度,營收(億),營收成長(%),毛利(億),毛利成長(%),淨利(億),淨利成長(%),毛利(%),毛率增減,淨利(%),淨率增減,EPS(元),EPS增減(元),ROE(%),ROE增減,ROA(%),ROA增減,財報評分
1,6669,緯穎,3805.0,2025,"9,507",164.0,785,110.0,511,124.0,8.25,-2.12,5.38,-0.94,275.06,148.49,48.0,13.1,19.3,3.03,47
2,3008,大立光,2605.0,2025,611,2.84,308,-1.19,213,-17.9,50.4,-2.06,35.3,-8.82,159.41,-34.76,11.5,-3.48,9.86,-2.87,85
3,5274,信驊,13805.0,2025,90.8,40.6,61.8,48.7,39.3,52.8,68.0,3.71,43.2,3.43,103.92,35.88,59.5,5.18,43.5,1.59,91
4,2059,川湖,3640.0,2025,175,72.8,133,90.1,98.4,59.8,76.0,6.92,56.2,-4.56,103.23,38.64,39.9,7.26,32.0,5.8,93
5,7769,鴻勁,4500.0,2025,303,116.0,171,122.0,124,134.0,56.5,1.51,40.8,3.06,75.71,42.76,34.5,-6.14,26.0,-1.3,91
6,5269,祥碩,1270.0,2025,134,66.0,70.1,59.9,54.3,45.4,52.2,-1.99,40.4,-5.74,72.7,21.13,15.6,1.51,14.1,1.18,79
7,3533,嘉澤,2490.0,2025,338,12.3,173,9.92,78.7,-15.2,51.3,-1.1,23.5,-7.65,70.17,-12.6,20.3,-7.58,15.8,-5.49,79
8,3661,世芯-KY,3515.0,2025,309,-40.5,81.5,-20.1,56,-13.1,26.4,6.74,18.1,5.69,69.18,-12.16,13.9,-8.48,10.3,-5.25,66
9,2330,台積電,2030.0,2025,"38,091",31.6,"22,813",40.4,"17,179",46.4,59.9,3.77,45.0,4.53,66.26,21.01,35.1,5.03,23.5,4.28,91
10,2454,聯發科,1925.0,2025,"5,960",12.3,"2,831",7.48,"1,053",-1.0,47.5,-2.14,17.8,-2.39,66.16,-0.76,26.1,-1.43,14.7,-1.35,68
11,2357,華碩,599.0,2025,"7,389",25.9,"1,116",7.87,446,41.9,15.1,-2.52,6.53,0.69,59.99,17.72,16.2,3.9,8.12,1.51,38
