股號	股名	年份	紀念品
1101	台泥	2025	多功能雙面蓋毯120X70公分
1103	嘉泥	2025	GiveU 尼龍收納三用包
1201	味全	2025	料理高手-蔬果本味調味料 2025
1203	味王	2025	咖哩雞肉(2入組)一盒
1210	大成	2025	安心購150元抵用券
1215	卜蜂	2025	雞肉鬆
1217	愛之味	2025	愛之味咖哩豆腐 韓泡豆腐煲 2罐(隨機出貨)
1219	福壽	2025	福壽香油200克
1220	台榮	2025	伊莎貝爾無患子洗手乳250ml
1225	福懋油	2025	7-11商品卡100元
1305	華夏	2025	USii優系高效鎖鮮袋 XL5入 L3入
1308	亞聚	2025	USii優系高效鎖鮮袋 XL5入 L3入
1309	台達化	2025	USii優系高效鎖鮮袋 XL5入 L3入
1310	台苯	2025	常健順暢益生菌(2入)
1312	國喬	2025	掌廚可樂膳304不鏽鋼分隔防燙保鮮盒
1314	中石化	2025	7-11商品卡100元
1316	上曜(臨)	2025	朝和生醫黃金股本 紅藻粉複方膠囊30粒
1316	上曜(臨)	2025	朝和生醫 愛視泌EX金盞草外泌體複方膠囊(全素)乙包
1316	上曜	2025	朝和生醫葉黃素魚油軟膠囊20粒裝二包
1325	恆大	2025	立體醫用口罩壹盒30片
1337	再生-KY	2025	居慕洗手液-檀木
1338	廣華-KY	2025	7-11商品卡50元
1340	勝悅-KY	2025	全家禮物卡50元
1409	新纖	2025	紳士襪
1414	東和	2025	羊毛保暖圍巾
1416	廣豐	2025	毛巾
1417	嘉裕	2025	機能襪
1417	嘉裕	2025	洗臉馬卡龍
1418	東華	2025	EVA雨衣
1432	大魯閣	2025	『800元消費抵用券』、『每月玩樂買 1送1券』8張
1440	南紡	2025	統一好勁道麵條5入組
1449	佳和	2025	平面防護口罩五入(未滅菌)
1452	宏益	2025	高露潔旅行牙膏組
1463	強盛新(臨)	2025	7-11商品卡50元
1463	強盛新	2025	7-11商品卡50元
1471	首利	2025	7-11商品卡35元
1513	中興電	2025	小羊苗聯名款真空隨行杯
1514	亞力	2025	珪藻土桌墊
1516	川飛	2025	7-11商品卡35元
1517	利奇	2025	多功能手機支架
1524	耿鼎	2025	菜瓜布爐具鍋具專用
1526	日馳	2025	全家經典中杯美式咖啡券(期限20280630)
1527	鑽全	2025	7-11商品卡35元
1528	恩德	2025	7-11商品卡50元
1536	和大	2025	7-11商品卡50元
1540	喬福	2025	伊莎貝爾櫻花沐浴皂75克一顆
1558	伸興	2025	小羊苗庇護工場 暖心植樸舒活皂70克二入
