排名,代號,名稱,成交,漲跌價,漲跌幅,平均營益(億),23Q2營益(億),23Q3營益(億),23Q4營益(億),24Q1營益(億),24Q2營益(億),24Q3營益(億),24Q4營益(億),25Q1營益(億),25Q2營益(億),25Q3營益(億),25Q4營益(億),26Q1營益(億)
1,2905,三商,14.6,+0.15,+1.04,0.86,-123.0,-216.0,226.0,-151.0,-71.3,63.4,-207.0,-105.0,645.0,30.4,-83.2,
2,2923,鼎固-KY,26.9,-1.4,-4.95,1.87,2.97,15.8,21.9,23.5,-0.07,14.2,-1.89,2.53,-9.59,2.77,-51.6,
3,6806,森崴能源,29.8,+2.7,+9.96,-15.0,1.17,1.88,4.08,0.6,2.36,4.3,4.36,6.54,-63.1,-91.0,-35.6,
4,3712,永崴投控,23.3,+2.1,+9.91,-13.6,0.94,2.66,5.74,1.12,3.9,6.04,6.27,7.74,-61.9,-89.1,-33.1,
5,2392,正崴,39.8,-0.45,-1.12,-9.16,1.31,13.0,14.0,0.27,6.16,17.5,10.9,10.0,-60.3,-85.7,-27.9,
6,1301,台塑,51.8,-0.8,-1.52,-14.4,-24.7,1.76,-19.3,-14.5,1.7,-15.1,-13.8,-8.92,-15.6,-26.8,-23.7,
7,6443,元晶,39.2,+0.1,+0.26,-2.81,1.2,1.12,1.31,0.3,0.23,0.31,-6.65,-1.03,-2.53,-4.18,-21.0,
8,2409,友達,18.9,-0.35,-1.82,-18.5,-44.2,-13.3,-50.7,-49.4,1.07,-3.1,-33.2,11.4,15.0,-18.1,-18.9,
9,2258,鴻華先進-創,29.25,+0.85,+2.99,-7.67,-4.92,-6.21,-7.18,-7.5,-2.84,-6.31,-10.1,-5.61,-7.35,-11.3,-15.1,
10,3714,富采,73.6,-3.8,-4.91,-7.04,-10.4,-7.64,-8.25,-5.22,-2.65,-1.23,-7.15,-4.76,-8.34,-8.58,-13.1,
11,3481,群創,26,-0.15,-0.57,-20.2,-53.4,-15.8,-31.7,-31.7,3.64,-7.9,-43.2,-12.4,-7.78,-9.75,-11.7,
12,1314,中石化,7.76,+0.01,+0.13,-6.73,-7.98,-7.05,-4.77,-2.15,0.41,-5.1,-11.6,-5.49,-9.58,-9.39,-11.3,
13,6116,彩晶,8.99,-0.1,-1.1,-11.6,-11.0,-11.0,-16.7,-11.0,-17.1,-13.1,-14.4,-6.8,-7.54,-9.02,-10.6,
14,1312,國喬,13,-0.3,-2.26,-6.03,-4.28,-0.34,-4.51,-2.25,-3.27,-4.67,-6.54,-7.24,-10.4,-12.3,-10.5,
15,1326,台化,50.5,0,0,-5.77,-31.5,20.7,3.42,-1.49,15.5,-20.9,-8.67,-4.47,-25.2,-2.15,-8.62,
16,6269,台郡,67.1,+2.1,+3.23,-3.15,4.25,6.69,5.59,-1.89,-1.87,-5.17,-9.21,-8.41,-7.78,-8.42,-8.41,
17,2104,國際中橡,11.25,+0.1,+0.9,-2.35,-3.43,0.59,1.52,0.22,-0.62,1.92,-3.66,-5.16,-3.54,-5.47,-8.18,
18,1605,華新,32.65,-1,-2.97,5.28,15.4,19.6,0.11,3.91,16.4,2.18,0.31,9.5,4.98,-6.4,-7.88,
19,4927,泰鼎-KY,53.2,+1,+1.92,-3.34,-1.36,-1.31,-2.97,-2.31,-3.08,-4.59,-4.72,-2.33,-2.31,-4.38,-7.41,
20,6550,北極星藥業-KY,19.7,+0.9,+4.79,-6.38,-4.12,-4.9,-6.06,-5.07,-6.0,-7.58,-7.69,-6.87,-7.32,-7.28,-7.32,
21,2609,陽明,50.7,+0.6,+1.2,72.0,15.7,-13.6,-33.5,78.9,141.0,323.0,132.0,72.2,39.0,44.1,-7.22,
22,6770,力積電,54,+2.6,+5.06,-15.8,-0.66,-14.1,-20.2,-10.7,-22.3,-26.9,-19.7,-8.58,-17.0,-26.9,-7.19,
23,4919,新唐,144.5,+3,+2.12,0.1,4.58,6.24,2.4,4.56,-1.91,-0.32,-2.2,2.73,-3.02,-5.16,-6.84,
24,6111,光聚晶電,48.9,+1.1,+2.3,-1.22,0.26,-2.72,0.23,-0.22,-0.09,-0.29,-0.79,-0.11,-1.38,-2.0,-6.38,
25,2498,宏達電,41.15,+0.7,+1.73,-10.4,-11.1,-11.3,-10.9,-12.1,-11.8,-11.3,-11.2,-11.4,-8.36,-8.54,-6.18,
26,6153,嘉聯益,20.65,+1.85,+9.84,-5.21,-6.51,-4.54,-3.72,-6.16,-4.12,-4.52,-5.36,-6.61,-5.32,-5.25,-5.23,
27,1313,聯成,11.9,-0.05,-0.42,-3.79,-3.75,4.75,-1.42,-11.3,-5.02,-8.86,-1.61,-1.92,-2.49,-4.98,-5.13,
28,4174,浩鼎,36.65,-0.05,-0.14,-5.63,-5.53,-6.18,-4.87,-5.71,-5.45,-5.34,-7.22,-5.11,-6.84,-4.97,-4.77,
29,6958,日盛台駿,20,0,0,-0.8,2.49,1.01,-0.07,1.37,2.01,1.8,-0.67,-2.13,-4.09,-5.93,-4.64,
30,6462,神盾,130.5,+11.5,+9.66,-3.3,-3.21,-2.98,-2.58,-2.19,-2.6,-2.51,-4.74,-4.01,-3.43,-3.58,-4.48,
31,1304,台聚,14.55,-0.2,-1.36,-3.44,5.56,3.63,-0.37,-4.38,0.5,-8.7,-7.5,-6.03,-7.74,-8.46,-4.28,
32,4123,晟德,39.55,-0.25,-0.63,-0.06,-0.06,0.36,0.36,0.42,0.56,0.65,0.71,0.46,0.04,0.13,-4.24,
33,6180,橘子,41.8,-0.4,-0.95,-0.03,0.45,2.66,-1.21,5.33,-3.71,3.39,-2.43,2.2,-2.0,-0.76,-4.19,
34,4960,誠美材,40.9,+3.7,+9.95,-2.02,-0.84,-0.83,-1.51,-0.87,-1.22,-1.22,-2.39,-2.61,-3.53,-3.04,-4.18,
35,2337,旺宏,132.5,+12,+9.96,-8.72,-1.66,-6.52,-11.5,-13.0,-5.12,-3.58,-17.5,-10.8,-10.8,-11.4,-3.92,
36,3576,聯合再生,16.85,-0.35,-2.03,-4.37,-3.04,-10.9,-16.5,-3.12,-1.38,-1.9,4.11,-2.52,-4.13,-4.74,-3.91,
37,2035,唐榮,28,0,0,-3.17,-5.01,-2.0,-4.32,-1.89,-0.16,-2.65,-3.29,-3.66,-4.64,-3.47,-3.75,
38,6541,泰福-KY,40.3,-0.1,-0.25,-3.86,-5.01,-5.07,-4.93,-4.22,-3.63,-2.94,-2.77,-4.09,-3.2,-2.86,-3.74,
39,2340,台亞,39.05,+3.55,+10,-1.62,0.52,0.75,-0.1,-1.04,-0.84,-1.44,-2.83,-3.62,-2.6,-3.08,-3.55,
40,3041,揚智,24.75,+2.25,+10,-1.26,-2.61,-1.73,-1.18,-1.01,-0.17,-0.72,-0.65,-0.38,-1.06,-0.86,-3.46,
41,2023,燁輝,14.05,+0.1,+0.72,1.46,4.8,5.02,2.33,5.08,2.94,-2.18,-2.43,3.59,-1.0,1.35,-3.4,
42,1710,東聯,13.55,+0.05,+0.37,-1.38,-1.42,-2.48,-1.6,-0.24,0.15,0.96,-1.58,-0.83,-1.74,-3.08,-3.37,
43,8942,森鉅,43.6,-1,-2.24,1.65,4.96,4.3,2.08,2.79,1.47,0.85,1.38,2.88,1.46,-0.7,-3.35,
44,8215,明基材,26.55,0,0,0.49,1.59,2.49,0.66,0.97,0.58,2.29,0.53,2.29,-2.65,-0.06,-3.34,
45,2007,燁興,8.04,+0.1,+1.26,-1.93,-2.14,-1.44,-2.13,-1.59,-1.96,-1.62,-2.13,-1.27,-2.0,-1.62,-3.3,
46,4526,東台,34.25,-0.85,-2.42,-1.77,-0.07,-0.17,-1.39,-1.61,-2.1,-1.82,-5.19,-0.64,-2.39,-1.13,-2.96,
47,3664,安瑞-KY,7.9,+0.4,+5.33,-0.27,0.16,-0.45,0.64,-0.43,-0.09,0.11,0.34,-0.45,0.03,0.12,-2.91,
48,1905,華紙,14.5,+1.3,+9.85,-2.54,-4.04,-3.58,0.47,0.15,-2.59,-0.33,-2.74,-4.59,-2.49,-5.4,-2.8,
