排名,代號,名稱,成交,財報年度,營收(億),營收成長(%),毛利(億),毛利成長(%),淨利(億),淨利成長(%),毛利(%),毛率增減,淨利(%),淨率增減,EPS(元),EPS增減(元),ROE(%),ROE增減,ROA(%),ROA增減,財報評分
1,5314,世紀*,78.1,2025,29.7,+373,17,+346,16.3,+506,57.3,-3.57,56.5,+13.8,5.56,-12.69,101,+16.8,58.7,-3.86,85
2,7822,倍利科,1580,2025,20.8,+188,12.7,+198,5.82,+293,61.4,+2.08,28,+7.41,14.04,+10.2,80.5,+28.7,31.3,+12.3,70
3,3609,三一東林,24.85,2025,6.65,+70.7,0.74,-18.4,2.47,+248,11.1,-12.1,37.1,+79.7,6.42,+11.13,61.4,+114,23.5,+38.5,62
4,3293,鈊象,785,2025,220,+19,215,+20.4,109,+19.8,97.6,+1.09,49.3,+0.33,38.51,+6.37,61.2,-2.15,45.6,-1.36,85
5,5274,信驊,14425,2025,90.8,+40.6,61.8,+48.7,39.3,+52.8,68,+3.71,43.2,+3.43,103.92,+35.88,59.5,+5.18,43.5,+1.59,91
6,4523,永彰,30.8,2025,5.74,-7.15,-4.09,-436,14.2,+1556,-71.3,-90.9,164,+192,22.26,+23.79,58.6,+74.3,35.3,+43.1,62
7,2345,智邦,2005,2025,"2,483",+125,449,+97.1,263,+120,18.1,-2.55,10.6,-0.27,47.13,+25.64,55.9,+17,22.9,+6.13,57
8,2404,漢唐,1025,2025,661,+39.4,132,+55.4,90.7,+46.5,20,+2.07,13.9,+0.66,48.08,+15.14,54.2,+8.45,14.6,+1.16,64
9,9949,琉園,36.55,2025,1.41,-17,0.9,+4.45,2.33,+546,64,+13.1,165,+196,5.29,+6.48,51.9,+67,31.3,+39.5,75
10,3529,力旺,4385,2025,38.5,+6.74,38.5,+6.74,19.1,+4.23,100,0,49.8,-0.69,25.6,+1.03,51.5,-3.44,41.6,-2.73,95
11,3017,奇鋐,2490,2025,"1,396",+94.6,360,+114,192,+135,25.8,+2.3,15,+2.19,49.17,+27.96,49.9,+18.9,16.1,+5.4,60
12,6596,寬宏藝術,101.5,2025,30.9,+78.7,11.6,+146,7.16,+243,37.6,+10.3,23.2,+11.1,18.83,+12.56,49.7,+29.4,28.4,+16.6,72
13,6669,緯穎,3980,2025,"9,507",+164,785,+110,511,+124,8.25,-2.12,5.38,-0.94,275.06,+148.49,48,+13.1,19.3,+3.03,47
14,4728,雙美,393.5,2025,20.3,+11.4,15.9,+7.44,7.26,+6.82,78.4,-2.93,35.8,-1.55,13.33,+0.86,46.4,+0.13,34.4,+2.47,95
15,1519,華城,891,2025,244,+20.9,98.9,+33.9,44.2,+3.11,40.5,+3.92,17.9,-3.26,13.99,-0.94,44.6,-12.7,17.4,-5.57,68
16,5209,新鼎,165,2025,53.4,-16.4,6.85,+19.8,4.59,+21.2,12.8,+3.88,8.6,+2.67,16.16,+2.79,43.2,+3.23,9.45,+1.79,48
17,6691,洋基工程,665,2025,224,+47.1,42.7,+41.5,29.9,+47.1,19.1,-0.76,13.4,-0.01,24.76,+5.4,43,+8.85,16.9,+2.38,59
18,1432,大魯閣,16.75,2025,13.4,+4.63,5.55,+10.1,6.51,+1494,41.5,+2.08,46.5,+50.9,6.03,+6.5,42.4,+48.6,12.6,+13.7,64
19,6739,竹陞科技,1600,2025,8.06,+96.7,5.3,+120,3.75,+194,65.8,+6.94,46.5,+15.4,16.13,+10.1,42.1,+19.1,33.9,+15.7,89
20,4123,晟德,39.8,2025,15.2,-6.28,6.21,-17,93.2,+945,41,-5.32,615,+683,12.33,+13.88,41.9,+47.6,31,+35.2,68
21,4946,辣椒,107,2025,3.55,+786,1.38,+6360,0.25,+132,38.8,+44.3,6.26,+211,3.14,+14.54,41.9,+214,16.1,+75.4,62
22,5904,寶雅,519,2025,253,+7.16,114,+7.32,31.4,+12.1,45.2,+0.07,12.4,+0.54,29.54,+2.8,41.2,-0.46,10.4,+0.1,61
23,2360,致茂,2050,2025,283,+31,174,+36.7,117,+122,61.5,+2.55,42.1,+17.1,27.7,+15.21,41.1,+18.6,28.2,+13,77
24,5386,青雲,332.5,2025,58.8,+32.6,6.03,+135,3.1,+200,10.3,+4.48,5.26,+2.93,8.61,+5.3,40.3,+21.9,10.7,+4.02,36
25,5439,高技,441.5,2025,96.4,+131,21.8,+239,12.8,+291,22.6,+7.21,13.2,+5.42,13.74,+10.23,40,+26.8,16,+9.06,57
26,8210,勤誠,1020,2025,220,+51.6,65.9,+74,35.6,+84,30,+3.87,16.6,+3.05,29.06,+13.01,39.9,+9.21,18.3,+5.38,64
27,2059,川湖,3745,2025,175,+72.8,133,+90.1,98.4,+59.8,76,+6.92,56.2,-4.56,103.23,+38.64,39.9,+7.26,32,+5.8,93
28,6139,亞翔,751,2025,775,+19,124,+52.3,71.4,+64.8,16,+3.49,11.9,+3.25,30.51,+11.78,39,+7.87,12.8,+3.02,64
29,6944,兆聯實業,922,2025,169,+64.2,38.2,+62.8,23.7,+56.8,22.6,-0.19,14,-0.66,32.29,+9.96,38,-0.53,18.8,+1.72,68
30,8932,智通*,98.8,2025,22.7,+51.8,14.3,+70.4,6.58,+106,63,+6.87,32.8,+8.4,1.85,-0.15,37.4,+8.73,25.3,+7.81,89
31,2745,五福,104,2025,87.6,+14.4,11.6,+22.9,3.38,+10.4,13.3,+0.92,3.86,-0.14,10.01,+0.94,37.1,-3.32,13.9,-1.77,51
32,6409,旭隼,773,2025,205,-10,59.6,-15.1,35.2,-16.3,29,-1.74,17.2,-1.27,40.23,-7.9,36.1,-9.84,20.5,-5.75,64
33,6625,必應,75.1,2025,43.7,+39,8.14,+51.4,5.11,+79.7,18.6,+1.52,11.7,+2.65,9.13,+3.29,35.4,+4.78,18.4,+2.69,64
34,2102,泰豐,19.3,2025,2.66,-0.57,0.54,+211,28.8,+720,20.4,+13.9,1085,+1259,6.28,+7.29,35.2,+41.9,22.4,+25.9,64
35,3260,威剛,358,2025,531,+32.1,148,+68.7,72.9,+169,27.8,+6.03,14.4,+7.29,23.18,+13.93,35.1,+18.1,12.9,+6.84,51
36,2731,雄獅,160.5,2025,300,+6,50.6,+28.1,16.3,+78.3,16.8,+2.9,5.51,+2.24,17.49,+7.68,35.1,+12,14.4,+5.11,60
37,2368,金像電,1210,2025,600,+54,197,+72.7,96.1,+71.1,32.8,+3.55,16,+1.59,19.47,+7.93,35.1,+5.62,16,+1.51,64
38,2330,台積電,2025,2025,"38,091",+31.6,"22,813",+40.4,"17,179",+46.4,59.9,+3.77,45,+4.53,66.26,+21.01,35.1,+5.03,23.5,+4.28,91
39,2442,新美齊,18.55,2025,107,+881,36.2,+821,14.2,+350,33.7,-2.21,21.3,-7.5,5.24,+4.04,34.5,+28.5,8.95,+7.46,53
40,7769,鴻勁,4445,2025,303,+116,171,+122,124,+134,56.5,+1.51,40.8,+3.06,75.71,+42.76,34.5,-6.14,26,-1.3,91
41,2383,台光電,3850,2025,943,+46.4,281,+56.5,146,+52.9,29.8,+1.92,15.5,+0.67,41.67,+13.86,34.2,+3.33,15.9,+1.14,60
42,5287,數字,160,2025,23.2,+2.49,16.1,+1.75,8.36,+10,69.2,-0.51,36.1,+2.57,13.93,+1.26,34.2,-0.42,19.7,-0.03,84
43,6186,新潤,42.2,2025,94.5,+3.72,26.9,+24.4,15.2,+56.7,28.4,+4.73,16.1,+5.45,7.81,+2.18,33.8,+6.35,8.1,+3.3,48
